date,title,category,entities_name,formatted_address,longitude,latitude,beat
13/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
13/4/2021,Miami Marlins vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
13/4/2021,Moderate to Significant Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
13/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
14/4/2021,The Texas Gentlemen,community,The EARL,"488 Flat Shoals Avenue Southeast Atlanta, GA 30316 United States of America",-84.345925,33.74098,612
14/4/2021,Money Mu,concerts,Allure Gentlemen's Club,Atlanta United States of America,-84.352718,33.817576,613
14/4/2021,Bad Breakup Breakthrough - Live Event With Arno Koch,conferences,null,null,-84.39494,33.765755,504
14/4/2021,The Best Damn Comedy Show Period at Kats Cafe,performing-arts,Kat's Cafe,"970 Piedmont Avenue Northeast Atlanta, GA 30309 United States of America",-84.38094,33.781138,502
14/4/2021,Love & Hip Hop Open Mic Atlanta,community,null,null,-84.397038,33.76372,508
14/4/2021,LDC Gas Forums Southeast,conferences,InterContinental Buckhead Atlanta,"3315 Peachtree Road Atlanta, GA 30326 United States of America",-84.368298,33.845598,208
14/4/2021,Andy Birdsall & Dave Onarato,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
14/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
14/4/2021,"The ATL HOE Comedy Show Returns w/Mz GradyBaby, Tobias Dean & Tez Russell",performing-arts,null,null,-84.401384,33.65517,313
14/4/2021,ATL Hoe,performing-arts,null,null,-84.40143,33.655157,313
14/4/2021,Miami Marlins vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
15/4/2021,Ben Bostick,community,Red Pepper Taqueria,"3135 Piedmont Road Northeast Atlanta, GA 30305 United States of America",-84.370536,33.842599,206
15/4/2021,Gwen Hughes,concerts,Pricci,Atlanta United States of America,-84.371496,33.837359,206
15/4/2021,2021 EiQ: The intelligent email gathering,conferences,InterContinental Buckhead Atlanta,"3315 Peachtree Road Atlanta, GA 30326 United States of America",-84.368298,33.845598,208
15/4/2021,AMA Supercross 450SX - Atlanta,sports,Mercedes-benz Stadium,"1 AMB Dr NW Atlanta, GA 30313 United States of America",-84.400892,33.755403,507
15/4/2021,VOW New World of Bridal,expos,AmericasMart Building 2,"40 John Portman Boulevard Northwest Atlanta, GA 30303 United States of America",-84.38984,33.760315,508
15/4/2021,Crab Legs & Comedy  Show Hosted by Damion  Mr. Inappropriate,performing-arts,null,null,-84.401384,33.65517,313
15/4/2021,Miami Marlins vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
15/4/2021,Miami Marlins vs Atlanta Braves,sports,Truist Park,"755 Battery Avenue Southeast Atlanta, GA 30339 United States of America",-84.467771,33.890785,201
16/4/2021,Will Kimbrough,concerts,Eddie's Attic,"515 North McDonough Street Decatur, GA 30030 United States of America",-84.296272,33.773975,608
16/4/2021,John McKnight,community,New Realm Brewery,Atlanta United States of America,-84.361964,33.768973,602
16/4/2021,Milwaukee Bucks vs Atlanta Hawks,sports,State Farm Arena,"Atlanta, GA 30303 United States of America",-84.396352,33.757162,507
16/4/2021,Eric Hinton and Troy Rushing,community,Marlow's Tavern Vinings,"2355 Cumberland Parkway Southeast Atlanta, GA 30339 United States of America",-84.480746,33.859465,201
16/4/2021,Severe Delays - Fulton County Airport (FTY),airport-delays,Fulton County Airport-Brown Field,"3952 Aviation Circle Northwest Atlanta, GA 30336 United States of America",-84.521645,33.777091,114
16/4/2021,Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
16/4/2021,Moderate to Severe Delays - DeKalb Peachtree Airport (PDK),airport-delays,DeKalb-Peachtree Airport,"Chamblee, GA 30341 United States of America",-84.301944,33.875556,210
16/4/2021,Moderate Delays - Hartsfield-Jackson Atlanta International Airport (ATL),airport-delays,Hartsfield-Jackson Atlanta International Airport,"6000 N Terminal Parkway Atlanta, 30320 United States of America",-84.44403,33.640067,50
17/4/2021,Niko the Kid and Otica,concerts,Sheraton Atlanta Hotel,"165 Courtland Street Northeast Atlanta, GA 30303 United States of America",-84.383201,33.758998,509
